Código Regional,Nombre de la Regional,Código DIVIPOLA DANE,Cupos Doble Titulación,Cupos en formación titulada,Cupos en formación complementaria,Total Cupos en formación profesional integral,Cupos de virtualidad,Cupos en Bilingüismo
5,REGIONAL ANTIOQUIA,05000,11,16748,166280,183028,106641,24911
8,REGIONAL ATLÁNTICO,08000,-1204,-714,147304,146590,90887,23906
11,REGIONAL DISTRITO CAPITAL,11000,-1051,21486,199515,221001,135827,23674
13,REGIONAL BOLÍVAR,13000,-1069,1378,98465,99843,48465,7171
15,REGIONAL BOYACÁ,15000,884,4264,36389,40653,29660,4871
17,REGIONAL CALDAS,17000,949,3853,44778,48631,33453,6240
18,REGIONAL CAQUETÁ,18000,372,1033,5249,6282,5570,1520
19,REGIONAL CAUCA,19000,-31,3356,19398,22754,15418,3176
20,REGIONAL CESAR,20000,-1143,1793,26589,28382,18851,3545
23,REGIONAL CÓRDOBA,23000,-293,2498,38070,40568,14836,2721
25,REGIONAL CUNDINAMARCA,25000,-928,5931,98918,104849,51195,11103
27,REGIONAL CHOCÓ,27000,-153,-109,14943,14834,5120,2877
41,REGIONAL HUILA,41000,-46,2835,67727,70562,33109,5310
44,REGIONAL GUAJIRA,44000,-451,1764,14949,16713,9206,2320
47,REGIONAL MAGDALENA,47000,833,4530,18964,23494,11135,2046
50,REGIONAL META,50000,894,2285,20279,22564,9568,1727
52,REGIONAL NARIÑO,52000,-248,1397,29759,31156,15218,2696
54,REGIONAL NORTE DE SANTANDER,54000,-912,3631,32667,36298,21077,3250
63,REGIONAL QUINDÍO,63000,-156,1750,71509,73259,42903,6875
66,REGIONAL RISARALDA,66000,277,1833,62029,63862,33767,8603
68,REGIONAL SANTANDER,68000,313,4807,89939,94746,60696,6103
70,REGIONAL SUCRE,70000,-276,746,3556,4302,4966,1585
73,REGIONAL TOLIMA,73000,479,3524,146898,150422,100474,4822
76,REGIONAL VALLE,76000,2103,11229,103577,114806,69755,16159
81,REGIONAL ARAUCA,81000,-534,46,5628,5674,6240,1489
85,REGIONAL CASANARE,85000,-297,297,2180,2477,3892,640
86,REGIONAL PUTUMAYO,86000,-253,730,-1399,-669,6240,1628
88,REGIONAL SAN ANDRÉS,88000,-21,-48,115663,115615,106687,99989
91,REGIONAL AMAZONAS,91000,73,286,7448,7734,4906,1518
94,REGIONAL GUAINÍA,94000,-133,161,10936,11097,7219,2080
95,REGIONAL GUAVIARE,95000,13,91,9211,9302,3517,293
97,REGIONAL VAUPÉS,97000,5,33,-212,-179,1040,640
99,REGIONAL VICHADA,99000,-163,93,3971,4064,3184,1050
